"","X.2","long","lat","group","order","ccode","subregion","cat_pais","cols_18","cat_pais2","X.1","n_elecciones_con_debates","n_debates_total","n_promedio_debates_eleccion","n_sd_n_debates","ncat_mean_tipoorg_ambito2","n_sd_tipoorg_ambito","ncat_mean_tipoorg_visibilidad","ncat_meanppac","ncat_meancompetencia","n_sd_competencia","n_sd_ppac","ncat_regmedios","ncat_regestado","ncat_regcandidatos","ncat_mean_totreg","n_max_reg","n_sd_reg","n_proporcioninvitados","n_indexausentes","ncat_ano_primer_debate","n_cattipo_educ","n_cattipo_estado","n_cattipo_mmc","n_cattipo_osc","n_cattipo_NA","n_tot_orgs","pr_dico_formato_periodistas","n_edad_practica_absoluta","pr_cattipo_educ","pr_cattipo_estado","pr_cattipo_mmc","pr_cattipo_NA","pr_cattipo_osc","n_interrupciones"
"28",28,291.366546630859,-53.2418937683105,2,29,"Argentina","Tierra del Fuego","Argentina","#00A5E3","Argentina",1,2,4,2,0,4,1.15470053837925,1,0,3.5,0.577350269189626,0,1,2,1.5,4.5,9,5.19615242270663,1,1.545,2015,0,2,0,2,0,4,0,6,0,0.5,0,0,0.5,0
"29",29,291.368316650391,-52.9495124816895,2,30,"Argentina","Tierra del Fuego","Argentina","#00A5E3","Argentina",1,2,4,2,0,4,1.15470053837925,1,0,3.5,0.577350269189626,0,1,2,1.5,4.5,9,5.19615242270663,1,1.545,2015,0,2,0,2,0,4,0,6,0,0.5,0,0,0.5,0
"30",30,291.370086669922,-52.6526374816895,2,31,"Argentina","Tierra del Fuego","Argentina","#00A5E3","Argentina",1,2,4,2,0,4,1.15470053837925,1,0,3.5,0.577350269189626,0,1,2,1.5,4.5,9,5.19615242270663,1,1.545,2015,0,2,0,2,0,4,0,6,0,0.5,0,0,0.5,0
"31",31,291.428802490234,-52.6949234008789,2,32,"Argentina","Tierra del Fuego","Argentina","#00A5E3","Argentina",1,2,4,2,0,4,1.15470053837925,1,0,3.5,0.577350269189626,0,1,2,1.5,4.5,9,5.19615242270663,1,1.545,2015,0,2,0,2,0,4,0,6,0,0.5,0,0,0.5,0
"32",32,291.661224365234,-52.9000968933105,2,33,"Argentina","Tierra del Fuego","Argentina","#00A5E3","Argentina",1,2,4,2,0,4,1.15470053837925,1,0,3.5,0.577350269189626,0,1,2,1.5,4.5,9,5.19615242270663,1,1.545,2015,0,2,0,2,0,4,0,6,0,0.5,0,0,0.5,0
"33",33,291.721771240234,-52.9839820861816,2,34,"Argentina","Tierra del Fuego","Argentina","#00A5E3","Argentina",1,2,4,2,0,4,1.15470053837925,1,0,3.5,0.577350269189626,0,1,2,1.5,4.5,9,5.19615242270663,1,1.545,2015,0,2,0,2,0,4,0,6,0,0.5,0,0,0.5,0
"34",34,291.759857177734,-53.0818367004395,2,35,"Argentina","Tierra del Fuego","Argentina","#00A5E3","Argentina",1,2,4,2,0,4,1.15470053837925,1,0,3.5,0.577350269189626,0,1,2,1.5,4.5,9,5.19615242270663,1,1.545,2015,0,2,0,2,0,4,0,6,0,0.5,0,0,0.5,0
"35",35,291.6669921875,-53.0196304321289,2,36,"Argentina","Tierra del Fuego","Argentina","#00A5E3","Argentina",1,2,4,2,0,4,1.15470053837925,1,0,3.5,0.577350269189626,0,1,2,1.5,4.5,9,5.19615242270663,1,1.545,2015,0,2,0,2,0,4,0,6,0,0.5,0,0,0.5,0
"36",36,291.56884765625,-53.0552749633789,2,37,"Argentina","Tierra del Fuego","Argentina","#00A5E3","Argentina",1,2,4,2,0,4,1.15470053837925,1,0,3.5,0.577350269189626,0,1,2,1.5,4.5,9,5.19615242270663,1,1.545,2015,0,2,0,2,0,4,0,6,0,0.5,0,0,0.5,0
"37",37,291.5205078125,-53.11376953125,2,38,"Argentina","Tierra del Fuego","Argentina","#00A5E3","Argentina",1,2,4,2,0,4,1.15470053837925,1,0,3.5,0.577350269189626,0,1,2,1.5,4.5,9,5.19615242270663,1,1.545,2015,0,2,0,2,0,4,0,6,0,0.5,0,0,0.5,0
